Iter	RA1	AS1	SH1	RA5	AS5	AH5	RA10	AS10	SH10	RA15	AS15	SH15	RA20	AS20	SH20	RA30	AS30	SH30	RA50	AS50	SH50
5000	3,67757	3,3292	3,48998	1,57223	1,23767	1,30553	1,28447	1,05052	0,96508	1,27334	1,04294	0,9611	1,20327	1,13373	0,76882	1,21581	1,13737	0,77003	1,33522	1,58912	0,66248
5100	3,81195	3,40686	3,49901	1,57557	1,27107	1,33511	1,3136	1,07769	0,97442	1,30489	1,08381	0,95385	1,21715	1,17137	0,77669	1,21717	1,17202	0,78805	1,37804	1,63915	0,69051
5200	3,84347	3,57043	3,71708	1,6626	1,34573	1,40061	1,40773	1,1464	1,06517	1,35068	1,10845	1,00221	1,30027	1,17591	0,87696	1,2755	1,21386	0,80832	1,42269	1,69438	0,69544
5300	3,93708	3,57788	3,7205	1,73148	1,51617	1,52794	1,45874	1,18304	1,14241	1,36529	1,12352	1,019	1,45075	1,14664	0,95092	1,29134	1,2303	0,81451	1,44532	1,75264	0,71027
5400	3,98265	3,58301	3,72382	1,80762	1,47717	1,54921	1,5276	1,23583	1,25437	1,38913	1,13683	1,01102	1,37659	1,13966	1,02256	1,32087	1,2714	0,83302	1,49534	1,81193	0,72287
5500	4,02613	3,6382	3,78806	1,91093	1,51908	1,60992	1,60098	1,28756	1,29377	1,38879	1,15197	1,02779	1,39854	1,15167	1,04945	1,35177	1,31593	0,85053	1,53484	1,87608	0,74214
5600	4,10893	3,86623	3,90984	1,99566	1,61462	1,70103	1,68684	1,34787	1,40469	1,43	1,2041	1,05274	1,44884	1,18389	1,04952	1,3759	1,33563	0,86568	1,5653	1,91545	0,74839
5700	4,2205	3,78759	3,93783	2,04572	1,67342	1,7631	1,75158	1,37433	1,41828	1,44987	1,20736	1,07736	1,44268	1,20279	1,06821	1,40172	1,38009	0,86462	1,60455	1,97539	0,76149
5800	4,31554	3,83245	4,00039	2,0976	1,71765	1,83951	1,74724	1,38668	1,43868	1,4792	1,23067	1,08887	1,47542	1,24255	1,08445	1,44713	1,42045	0,8858	1,66247	2,04887	0,77537
5900	4,43653	3,94365	4,12208	2,18549	1,79601	1,89457	1,77711	1,41441	1,4428	1,50171	1,25993	1,11098	1,53715	1,24312	1,09104	1,45097	1,42501	0,89319	1,6958	2,07813	0,78562
6000	4,45797	3,96343	4,14072	2,29002	1,88378	2,0149	1,86774	1,55122	1,53402	1,53829	1,3451	1,11536	1,57811	1,28619	1,11191	1,50047	1,48138	0,93799	1,77602	2,16286	0,80117
6100	4,61192	4,10824	4,2574	2,379	1,93212	2,06136	1,83158	1,45114	1,48696	1,67732	1,43082	1,23524	1,56859	1,31451	1,12224	1,52383	1,51771	0,93214	1,80341	2,23876	0,82296
6200	4,66667	4,14217	4,2878	2,4094	1,98575	2,08323	1,83192	1,46161	1,49034	1,57181	1,3466	1,13696	1,59245	1,33515	1,13536	1,55905	1,54915	0,93884	1,82442	2,31579	0,8345
6300	4,68698	4,27564	4,36067	2,44061	2,00784	2,13757	1,86717	1,47529	1,51729	1,60603	1,35984	1,17009	1,60739	1,36522	1,16073	1,57999	2,34772	1,12875	2,09881	2,61919	0,90448
6400	4,75855	4,48654	4,50407	2,48321	2,04206	2,21237	1,98267	1,57008	1,55386	1,63568	1,39427	1,17905	1,65123	1,39466	1,19157	1,64496	1,65963	0,998	1,95732	2,44556	0,86045
6500	4,86202	4,36347	4,55399	2,48636	2,01606	2,14483	1,89389	1,52454	1,56056	1,69353	1,3874	1,1745	1,63741	1,39671	1,17239	1,64264	1,65987	0,9719	1,7078	1,85424	0,95976
6600	4,89387	4,42998	4,65579	2,4892	2,04729	2,1746	1,92711	1,63407	1,72467	1,84204	1,46731	1,1981	1,66194	1,42164	1,19496	1,69086	1,69667	0,99343	1,68618	1,72635	0,99396
6700	4,99975	4,48291	4,89795	2,53116	2,06089	2,19367	1,96558	1,56179	1,65033	1,71314	1,4604	1,23776	1,71761	1,45986	1,22226	1,71849	1,73815	1,00887	1,76541	1,75829	1,02361
