Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
8600	1,21823	0,666033	0,858767	1,145	0,5179	0,754833	1,6199	0,853567	1,1235
8700	1,2354	0,6617	0,861333	1,1579	0,522733	0,734433	1,6216	0,884233	1,12187
8800	1,26537	0,6858	0,861333	1,17823	0,541467	0,762567	1,6297	0,8108	1,14853
8900	1,26377	0,6853	0,883733	1,19207	0,533333	0,780767	1,6498	1,14453	1,15533
9000	1,2859	0,693767	0,892967	1,2091	0,5342	0,786967	1,68467	0,855533	1,16827
9100	1,29963	0,720033	0,924333	1,22777	0,549033	0,8084	1,7282	0,8719	1,18927
9200	1,32027	0,708433	0,913933	1,2782	0,569567	0,786533	1,72603	0,836033	1,1935
9300	1,32707	0,7101	0,9309	1,24613	0,578867	0,816767	1,7584	0,949667	1,21553
9400	1,34083	0,7402	0,937133	1,28643	0,587867	0,820233	1,8301	0,927533	1,21193
9500	1,36397	0,742033	0,948767	1,27067	0,569467	0,824267	1,78687	0,977033	1,25327
9600	1,36413	0,738567	0,9542	1,28653	0,5671	0,8348	1,8249	0,9203	1,25647
9700	1,40587	0,755067	0,9765	1,32633	0,607733	0,8546	1,82813	0,933067	1,27493
9800	1,4033	0,7709	0,973	1,31697	0,581733	0,8671	1,85733	0,956833	1,2838
9900	1,422	0,781333	0,9909	1,34977	0,6059	0,869367	1,86507	0,990333	1,2998
10000	1,43933	0,7754	0,9813	1,36007	0,614333	0,891233	1,92283	0,961733	1,3251
10100	1,4591	0,7823	1,00953	1,3642	0,6165	0,8891	1,91773	1,00497	1,34087
10200	1,48457	0,81	1,0782	1,40167	0,636767	0,943233	1,96253	1,07197	1,3528
10300	1,496	0,790733	1,05967	1,3952	0,6156	0,968333	1,9669	1,06197	1,38347
10400	1,5041	0,8155	1,04803	1,4179	0,6427	0,913233	2,0023	1,0071	1,40563
10500	1,5474	0,838233	1,07327	1,4537	0,653067	0,951733	2,04827	1,056	1,42403
10600	1,53983	0,827733	1,08187	1,44737	0,654933	0,936667	2,022	0,996833	1,39973
10700	1,55863	0,830767	1,07737	1,4774	0,627167	0,959333	2,0981	1,1101	1,4437
10800	1,5844	0,850433	1,09057	1,4743	0,636467	0,9563	2,06707	1,0789	1,42047
10900	1,5847	0,863067	1,11017	1,49147	0,660767	0,979567	2,0894	1,0883	1,45523
11000	1,60843	0,866	1,11067	1,50547	0,680133	1,0137	2,1219	1,0401	1,49043
11100	1,61443	0,869233	1,12463	1,52913	0,686567	0,971433	2,11473	1,01943	1,49177
11200	1,63813	0,861	1,12227	1,54317	0,6859	0,979333	2,1439	1,20763	1,50467
11300	1,64693	0,876467	1,1468	1,5689	0,687	1,02453	2,16427	1,138	1,5126
11400	1,65937	0,900933	1,14673	1,5632	0,704767	0,997933	2,21577	1,14263	1,515
11500	1,68187	0,930833	1,2029	1,61987	0,699367	1,06277	2,2613	1,18057	1,57733
11600	1,72687	0,9262	1,2029	1,62307	0,737967	1,03843	2,28067	1,12393	1,57883
11700	1,7483	0,941667	1,1923	1,61273	0,7215	1,05403	2,25743	1,16807	1,5783
11800	1,72957	0,925833	1,1722	1,62683	0,722467	1,03437	2,27907	1,1441	1,57947
11900	1,74637	0,9335	1,216	1,651	0,7433	1,07013	2,29443	1,12963	1,6008
12000	1,7635	0,970233	1,24693	1,64803	0,745167	1,08123	2,33503	1,21083	1,61087
12100	1,76843	0,9571	1,26023	1,6697	0,761633	1,0938	2,33087	1,2176	1,6485
12200	1,794	0,984133	1,24443	1,67647	0,7768	1,0853	2,38953	1,17453	1,64603
12300	1,81907	0,9746	1,26577	1,69827	0,749667	1,1063	2,3731	1,2466	1,66683
12400	1,8281	0,9828	1,26793	1,7105	0,7565	1,1025	2,42483	1,31973	1,68613
12500	1,82867	0,975533	1,29287	1,72733	0,787333	1,133	2,43177	1,223	1,6858
12600	1,8542	0,992033	1,27083	1,7417	0,951533	1,12543	2,43623	1,2006	1,70527
12700	1,85387	0,999133	1,31253	1,7418	0,7952	1,14217	2,47273	1,30683	1,72513
12800	1,8888	1,0104	1,3111	1,77993	0,792967	1,14673	2,48757	1,45217	1,73467
